State,Year,Month,Unemployment Rate,School closing,Workplace closing,Cancel public event,Restriction on gathering,Close public transport,State at home requirement,Restrictions on internal movement,International travel control
Iowa,2019,06,2.6,0,0,0,0,0,0,0,0
Iowa,2019,07,2.7,0,0,0,0,0,0,0,0
Iowa,2019,08,2.7,0,0,0,0,0,0,0,0
Iowa,2019,09,2.8,0,0,0,0,0,0,0,0
Iowa,2019,10,2.7,0,0,0,0,0,0,0,0
Iowa,2019,11,2.7,0,0,0,0,0,0,0,0
Iowa,2019,12,2.7,0,0,0,0,0,0,0,0
Iowa,2020,01,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
Iowa,2020,02,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310344827586207
Iowa,2020,03,2.6,0.6129032258064516,1.096774193548387,1.032258064516129,1.935483870967742,0.0,0.3548387096774194,0.5161290322580645,3.0
Iowa,2020,04,11,2.933333333333333,2.0,2.0,4.0,0.8333333333333334,1.0,1.0,3.0
Iowa,2020,05,8.4,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0
Iowa,2020,06,6.8,3.0,1.3666666666666667,1.0,0.0,1.0,1.0,1.0,3.0
Iowa,2020,07,5.9,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0
Iowa,2020,08,5,2.7419354838709675,1.1612903225806452,1.0,0.0,0.7096774193548387,1.0,1.0,3.0
Iowa,2020,09,4.6,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0
Iowa,2020,10,4.3,2.0,1.1290322580645162,1.0,0.0,0.0,1.0,1.0,3.0
Iowa,2020,11,4.2,1.9666666666666666,1.0,1.0,2.0,0.0,1.0,1.0,3.0
Iowa,2020,12,4.2,2.0,1.0,1.0,1.5483870967741935,0.0,1.0,1.0,3.0
Iowa,2021,01,4.2,2.4516129032258065,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Iowa,2021,02,4.2,1.0714285714285714,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Iowa,2021,03,4.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Iowa,2021,04,4.3,1.0,0.6666666666666666,1.0,0.0,0.0,0.03333333333333333,1.0,3.0
Iowa,2021,05,4.3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
Iowa,2021,06,4.2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
Iowa,2021,07,4,0.9354838709677419,0.0,1.0,0.0,0.0,0.0,1.0,3.0
Iowa,2021,08,3.8,0.2903225806451613,0.0,0.45161290322580644,0.0,0.0,0.0,0.1935483870967742,3.0
Iowa,2021,09,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Iowa,2021,10,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Iowa,2021,11,3.1,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333334
Iowa,2021,12,2.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.935483870967742
