State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 2019 base
South Dakota,SD,46,2023,7.62,785.6,144.4356603
Tennessee,TN,47,2019,5.62,526.91,100
Tennessee,TN,47,2020,4.43,550.26,104.4314968
Tennessee,TN,47,2021,14.1,627.84,119.1550739
Tennessee,TN,47,2022,21.36,761.94,144.6053406
Tennessee,TN,47,2023,7.41,818.38,155.3168473
Texas,TX,48,2019,4.57,552.61,100
Texas,TX,48,2020,3.25,570.59,103.2536509
Texas,TX,48,2021,12.52,642,116.175965
Texas,TX,48,2022,18.46,760.52,137.6232786
Texas,TX,48,2023,4.58,795.38,143.9315249
Utah,UT,49,2019,7.5,819.31,100
Utah,UT,49,2020,5.45,863.98,105.4521488
Utah,UT,49,2021,18.86,1026.93,125.3408356
Utah,UT,49,2022,20.14,1233.74,150.5828075
Utah,UT,49,2023,0.68,1242.12,151.6056194
Vermont,VT,50,2019,3.78,610.05,100
Vermont,VT,50,2020,3.42,630.94,103.4243095
Vermont,VT,50,2021,12.3,708.56,116.1478567
Vermont,VT,50,2022,16.19,823.3,134.9561511
Vermont,VT,50,2023,12.77,928.43,152.1891648
Virginia,VA,51,2019,3.92,641.32,100
Virginia,VA,51,2020,3.3,662.5,103.3025635
Virginia,VA,51,2021,9.54,725.68,113.1541196
Virginia,VA,51,2022,14.02,827.44,129.0213934
Virginia,VA,51,2023,7.78,891.78,139.0538265
Washington,WA,53,2019,5.73,1235.93,100
Washington,WA,53,2020,5.1,1298.97,105.1006125
Washington,WA,53,2021,14.55,1487.96,120.3919316
Washington,WA,53,2022,17.13,1742.77,141.008795
Washington,WA,53,2023,1.2,1763.71,142.7030657
West Virginia,WV,54,2019,2.01,323.85,100
West Virginia,WV,54,2020,2.42,331.69,102.4208739
West Virginia,WV,54,2021,7.91,357.92,110.5203026
West Virginia,WV,54,2022,10.56,395.7,122.1861973
West Virginia,WV,54,2023,6.21,420.28,129.7761309
Wisconsin,WI,55,2019,4.86,520.44,100
Wisconsin,WI,55,2020,2.61,534.03,102.611252
Wisconsin,WI,55,2021,10.03,587.58,112.9006226
Wisconsin,WI,55,2022,14.68,673.86,129.4789025
Wisconsin,WI,55,2023,10.38,743.79,142.9156099
Wyoming,WY,56,2019,4.36,606.63,100
Wyoming,WY,56,2020,3.81,629.71,103.8046256
Wyoming,WY,56,2021,9.47,689.37,113.6392859
Wyoming,WY,56,2022,14.6,790,130.2276511
Wyoming,WY,56,2023,5.45,833.06,137.3258823
